CPID,Latitude,Longitude,Type,Address
50246,56.4575,-2.9785,Rapid,"Small's Wynd, Dundee, DD1 4HN"
50315,56.45682527,-2.973600267,Rapid,"18 Greenmarket, Dundee, DD1 4QB"
50338,56.49601598,-2.94747589,Rapid,"Jack Martin Way, Dundee, DD4 9FF"
50339,56.47840766,-2.985301014,Rapid,"Clepington Road, Dundee, DD3 8PL"
50566,56.459786,-2.98359,Rapid,"33 Hawkhill, Dundee, DD1 5EN"
50692,56.4821483,-3.024697396,Rapid,"Carlunie Road, Dundee, DD2 3SQ"
50769,56.47277409,-2.972894271,Rapid,"Isla Street, Dundee, DD3 7HT"
50770,56.47272623,-2.972740629,Rapid,"Isla Street, Dundee, DD3 7HT"
50771,56.47267996,-2.97257838,Rapid,"Isla Street, Dundee, DD3 7HT"
50772,56.47262783,-2.972405245,Rapid,"Isla Street, Dundee, DD3 7HT"
50773,56.47258181,-2.972210791,Rapid,"Isla Street, Dundee, DD3 7HT"
50812,56.46553827,-3.04197669,Rapid,"Thomas Maclagan Way, Dundee"
50911,56.46779037,-2.873580046,Rapid,"Queen Street, Broughty Ferry, DD5 2HG"
1,56.45998739,-2.969634066,Rapid,"Crichton Street, Dundee, DD1 3AJ"
2,56.45884572,-2.981866629,Rapid,"Temple Lane, Dundee, DD1 4HN"
3,56.48042387,-2.951459746,Rapid,Forfar Road
